"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Olfr543",0.129877463171633,1.25876351597793,4.53207705473908,0.277745391522343,0.781207813525574,NA
"Rrm1",0,NA,NA,NA,NA,NA
"Gm18255",0,NA,NA,NA,NA,NA
"Stim1",213.844248109632,-0.964435822285403,1.85697107354235,-0.51935963679049,0.603509972949981,0.99908871025226
"Rhog",6.28042247791553,4.64342297984465,2.66738181145437,1.74081676642792,0.0817157020700967,0.99908871025226
"Pgap2",0.522900753088554,-2.31860640432395,4.49638429955128,-0.515660194916021,0.606091760316675,NA
"Nup98",3.63995986920775,3.13637271962147,2.86482650370893,1.0947862691025,0.273610283341405,0.99908871025226
"Chrna10",6.51946049328261,-5.9311008023977,3.16906167953108,-1.87156369997674,0.0612669893826951,0.94154522869042
"Art1",0,NA,NA,NA,NA,NA
"Art5",0,NA,NA,NA,NA,NA
"Trpc2",0,NA,NA,NA,NA,NA
"Xndc1",0,NA,NA,NA,NA,NA
"Xntrpc",0,NA,NA,NA,NA,NA
"Rnf121",0,NA,NA,NA,NA,NA
"Il18bp",0,NA,NA,NA,NA,NA
"Gm39061",0,NA,NA,NA,NA,NA
"Gm8523",0,NA,NA,NA,NA,NA
"Numa1",0,NA,NA,NA,NA,NA
"Lrrc51",0,NA,NA,NA,NA,NA
"Lamtor1",0,NA,NA,NA,NA,NA
"Tomt",0,NA,NA,NA,NA,NA
"Anapc15",0,NA,NA,NA,NA,NA
"Gm35597",0,NA,NA,NA,NA,NA
"Folr1",0.17840642147047,-1.00501262027981,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Folr2",0,NA,NA,NA,NA,NA
"Gm10602",0,NA,NA,NA,NA,NA
"Inppl1",0,NA,NA,NA,NA,NA
"Phox2a",0,NA,NA,NA,NA,NA
"Clpb",0,NA,NA,NA,NA,NA
"Gm45995",0,NA,NA,NA,NA,NA
"Art2b",0,NA,NA,NA,NA,NA
"Gm7027",0,NA,NA,NA,NA,NA
"Art2a",0,NA,NA,NA,NA,NA
"Gm19765",0,NA,NA,NA,NA,NA
"Gm35363",0,NA,NA,NA,NA,NA
"Mir139",0,NA,NA,NA,NA,NA
"Pde2a",0.263901582154579,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Arap1",0,NA,NA,NA,NA,NA
"Gm35219",0,NA,NA,NA,NA,NA
"Gm20476",0,NA,NA,NA,NA,NA
"Stard10",0,NA,NA,NA,NA,NA
"Atg16l2",0,NA,NA,NA,NA,NA
"LOC115486538",0,NA,NA,NA,NA,NA
"Gm50587",1.49479119132853,-3.82610235293399,4.03852380419148,-0.947401213523362,0.343434372995139,0.99908871025226
"LOC118567465",0,NA,NA,NA,NA,NA
"Gm6341",0,NA,NA,NA,NA,NA
"Fchsd2",0,NA,NA,NA,NA,NA
"Gm5735",0,NA,NA,NA,NA,NA
"P2ry2",0,NA,NA,NA,NA,NA
"P2ry6",0,NA,NA,NA,NA,NA
"Mir3102",0,NA,NA,NA,NA,NA
"Arhgef17",0.415572593239102,2.48990826954022,4.44658353458282,0.559959854610899,0.575506820837623,NA
"Relt",0.129877463171633,1.25876351597793,4.53207705473908,0.277745391522343,0.781207813525574,NA
"Gm3200",0,NA,NA,NA,NA,NA
"Fam168a",112.816275281267,3.35665013072716,2.45422600543143,1.36770212820604,0.171405333521009,0.99908871025226
"Gm35082",0,NA,NA,NA,NA,NA
"LOC118567523",0,NA,NA,NA,NA,NA
"Plekhb1",0,NA,NA,NA,NA,NA
"Rab6a",0,NA,NA,NA,NA,NA
"Cox20b",0,NA,NA,NA,NA,NA
"Mrpl48",0,NA,NA,NA,NA,NA
"Gm39059",0,NA,NA,NA,NA,NA
"Coa4",0,NA,NA,NA,NA,NA
"Gm39058",0,NA,NA,NA,NA,NA
"Gm8463",0,NA,NA,NA,NA,NA
"Dnajb13",0,NA,NA,NA,NA,NA
"Ucp2",0,NA,NA,NA,NA,NA
"Ucp3",0,NA,NA,NA,NA,NA
"Gm10603",0.762165312597421,-2.84369156410783,4.25696112318426,-0.668009756683123,0.504127364549246,0.99908871025226
"C2cd3",0,NA,NA,NA,NA,NA
"Ppme1",0.129877463171633,1.25876351597793,4.53207705473908,0.277745391522343,0.781207813525574,NA
"P4ha3",0.129877463171633,1.25876351597793,4.53207705473908,0.277745391522343,0.781207813525574,NA
"Gpx2-ps1",0,NA,NA,NA,NA,NA
"Pgm2l1",0,NA,NA,NA,NA,NA
"Gm34877",0,NA,NA,NA,NA,NA
"Gm7067",0,NA,NA,NA,NA,NA
"Gm45994",5.46703497123328,3.29865737697903,2.67654019962912,1.23243333966593,0.217787253285767,0.99908871025226
"Gm51453",0,NA,NA,NA,NA,NA
"Kcne3",0,NA,NA,NA,NA,NA
"Gm34821",0,NA,NA,NA,NA,NA
"Gm39057",0,NA,NA,NA,NA,NA
"Lipt2",0,NA,NA,NA,NA,NA
"Gm51452",0,NA,NA,NA,NA,NA
"Gm34760",0,NA,NA,NA,NA,NA
"Pold3",0.285695130067469,1.83634526585383,4.50195279767507,0.407899715608339,0.683347301560736,NA
"Chrdl2",0,NA,NA,NA,NA,NA
"Gm17931",0,NA,NA,NA,NA,NA
"Gm18959",0,NA,NA,NA,NA,NA
"Gm5115",0,NA,NA,NA,NA,NA
"Rnf169",2.85695130067469,5.27758532139872,3.52659907857106,1.49650845015735,0.134521207522529,0.99908871025226
"Gm38405",0,NA,NA,NA,NA,NA
"Xrra1",0,NA,NA,NA,NA,NA
"Spcs2",0,NA,NA,NA,NA,NA
"Neu3",0,NA,NA,NA,NA,NA
"Olfr521",0,NA,NA,NA,NA,NA
"Gm19182",0,NA,NA,NA,NA,NA
"Olfr520",0,NA,NA,NA,NA,NA
"Gm34280",0,NA,NA,NA,NA,NA
"Slco2b1",0.571390260134937,2.92997921341435,4.41599142011683,0.66349295881033,0.507014887564463,NA
"Gm25409",0,NA,NA,NA,NA,NA
"LOC118567522",0,NA,NA,NA,NA,NA
"Tpbgl",0,NA,NA,NA,NA,NA
"Mir326",0,NA,NA,NA,NA,NA
"Arrb1",0,NA,NA,NA,NA,NA
"Gm34172",0,NA,NA,NA,NA,NA
"Gm40450",0,NA,NA,NA,NA,NA
"Gm39056",0,NA,NA,NA,NA,NA
"Snord15a",0,NA,NA,NA,NA,NA
"Snord15b",0,NA,NA,NA,NA,NA
"Rps3",0,NA,NA,NA,NA,NA
"Klhl35",0.393779045326212,0.296992494461964,4.53207645824001,0.0655312189012137,0.947751050659475,NA
"Gdpd5",0,NA,NA,NA,NA,NA
"Serpinh1",0,NA,NA,NA,NA,NA
"Gm40449",0,NA,NA,NA,NA,NA
"Map6",0,NA,NA,NA,NA,NA
"Gm26705",0,NA,NA,NA,NA,NA
"Gm34062",0,NA,NA,NA,NA,NA
"Gm18943",0,NA,NA,NA,NA,NA
"Mogat2",0,NA,NA,NA,NA,NA
"Dgat2",0,NA,NA,NA,NA,NA
"Gm33882",0,NA,NA,NA,NA,NA
"Gm23479",0,NA,NA,NA,NA,NA
"Gm8149",0,NA,NA,NA,NA,NA
"Uvrag",0,NA,NA,NA,NA,NA
"Gm33827",0,NA,NA,NA,NA,NA
"Wnt11",0,NA,NA,NA,NA,NA
"Gm33770",0,NA,NA,NA,NA,NA
"Gm39054",0,NA,NA,NA,NA,NA
"n-TPagg7",0,NA,NA,NA,NA,NA
"n-TPtgg8",0,NA,NA,NA,NA,NA
"Gm33720",0,NA,NA,NA,NA,NA
"Gm19250",0,NA,NA,NA,NA,NA
"Thap12",0,NA,NA,NA,NA,NA
"LOC108167485",0,NA,NA,NA,NA,NA
"Gm15506",0,NA,NA,NA,NA,NA
"Emsy",0,NA,NA,NA,NA,NA
"Gm23040",0,NA,NA,NA,NA,NA
"Gm33394",0,NA,NA,NA,NA,NA
"Lrrc32",0,NA,NA,NA,NA,NA
"Gm38588",0,NA,NA,NA,NA,NA
"Gm44978",0,NA,NA,NA,NA,NA
